Date : 2022-08-12 12:45:46
Directory : c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot
Total : 152 files,  10457 codes, 2189 comments, 2096 blanks, all 14742 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\main\java\com\team254\frc2020\limelight                                                                                                           |          4 |        134 |          7 |         31 |        172 |
| src\main\java\com\team254\frc2020\limelight\undistort                                                                                                 |          3 |        117 |          7 |         26 |        150 |
| src\main\java\com\team254\lib                                                                                                                         |         57 |      2,949 |        962 |        730 |      4,641 |
| src\main\java\com\team254\lib\drivers                                                                                                                 |          5 |        253 |         32 |         80 |        365 |
| src\main\java\com\team254\lib\geometry                                                                                                                |         11 |        650 |        152 |        171 |        973 |
| src\main\java\com\team254\lib\motion                                                                                                                  |          9 |        692 |        365 |        138 |      1,195 |
| src\main\java\com\team254\lib\util                                                                                                                    |         28 |      1,094 |        356 |        286 |      1,736 |
| src\main\java\com\team254\lib\vision                                                                                                                  |          4 |        260 |         57 |         55 |        372 |
| src\main\java\frc                                                                                                                                     |         36 |      3,973 |        341 |        846 |      5,160 |
| src\main\java\frc\robot                                                                                                                               |         36 |      3,973 |        341 |        846 |      5,160 |
| src\main\java\frc\robot\auto                                                                                                                          |          4 |        149 |          0 |         43 |        192 |
| src\main\java\frc\robot\auto\basics                                                                                                                   |          2 |         69 |          0 |         17 |         86 |
| src\main\java\frc\robot\auto\modes                                                                                                                    |          1 |         11 |          0 |          6 |         17 |
| src\main\java\frc\robot\controlboard                                                                                                                  |          2 |        195 |          6 |         64 |        265 |
| src\main\java\frc\robot\coordinators                                                                                                                  |          2 |        792 |        116 |        113 |      1,021 |
| src\main\java\frc\robot\shuffleboard                                                                                                                  |          8 |        427 |          4 |         71 |        502 |
| src\main\java\frc\robot\shuffleboard\tabs                                                                                                             |          5 |        311 |          0 |         39 |        350 |
| src\main\java\frc\robot\subsystems                                                                                                                    |         10 |      1,542 |         34 |        339 |      1,915 |
| src\main\java\frc\robot\utils                                                                                                                         |          5 |        160 |         15 |         40 |        215 |
| src\main\java\frc\robot\utils\led                                                                                                                     |          3 |        113 |          6 |         26 |        145 |
| src\main\java\frc\robot\utils\shoot                                                                                                                   |          2 |         47 |          9 |         14 |         70 |
| src\main\java\org                                                                                                                                     |         30 |      1,629 |        860 |        405 |      2,894 |
| src\main\java\org\frcteam1678                                                                                                                         |          5 |        140 |         97 |         39 |        276 |
| src\main\java\org\frcteam1678\lib                                                                                                                     |          5 |        140 |         97 |         39 |        276 |
| src\main\java\org\frcteam1678\lib\math                                                                                                                |          1 |         30 |         32 |          9 |         71 |
| src\main\java\org\frcteam1678\lib\util                                                                                                                |          4 |        110 |         65 |         30 |        205 |
| src\main\java\org\frcteam6328                                                                                                                         |          4 |        217 |        151 |         47 |        415 |
| src\main\java\org\frcteam6328\utils                                                                                                                   |          4 |        217 |        151 |         47 |        415 |
| src\main\java\org\frcteam6941                                                                                                                         |         21 |      1,272 |        612 |        319 |      2,203 |
| src\main\java\org\frcteam6941\control                                                                                                                 |          3 |        199 |         47 |         49 |        295 |
| src\main\java\org\frcteam6941\drivers                                                                                                                 |          1 |         46 |         12 |         15 |         73 |
| src\main\java\org\frcteam6941\looper                                                                                                                  |          1 |         74 |          0 |         15 |         89 |
| src\main\java\org\frcteam6941\swerve                                                                                                                  |          4 |        465 |        130 |        110 |        705 |
| src\main\java\org\frcteam6941\utils                                                                                                                   |          9 |        402 |        415 |        105 |        922 |
| src\main\java\org\frcteam6941\vision                                                                                                                  |          3 |         86 |          8 |         25 |        119 |
| vendordeps                                                                                                                                            |          5 |        441 |          0 |          3 |        444 |
| vision-calibration                                                                                                                                    |          2 |        809 |          0 |          2 |        811 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\.wpilib\wpilib_preferences.json                                                         | JSON           |          6 |          0 |          0 |          6 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\README.md                                                                               | Markdown       |          9 |          0 |          5 |         14 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\WPILib-License.md                                                                       | Markdown       |         22 |          0 |          3 |         25 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\build.gradle                                                                            | Groovy         |         54 |         18 |         21 |         93 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\gradle\wrapper\gradle-wrapper.properties                                                | Properties     |          5 |          0 |          1 |          6 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\gradlew.bat                                                                             | Batch          |         68 |          0 |         22 |         90 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\networktables.ini                                                                       | Ini            |          4 |          0 |          1 |          5 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\settings.gradle                                                                         | Groovy         |         26 |          0 |          2 |         28 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\shooting-constants\ShootingConstants.py                                                 | Python         |        110 |          1 |         22 |        133 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\simgui-ds.json                                                                          | JSON           |        100 |          0 |          1 |        101 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\simgui.json                                                                             | JSON           |        111 |          0 |          1 |        112 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\5 Ball Auto - Part 1.wpilib.json              | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\5+1 Ball Auto - Part 1.wpilib.json            | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\5+1 Ball Auto - Part 2.wpilib.json            | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\5+1 Ball Auto - Part 3.wpilib.json            | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\5+1 Ball Auto - Part 4.wpilib.json            | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\New Path.wpilib.json                          | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\deploy\pathplanner\generatedJSON\Test Path.wpilib.json                         | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\frc2020\limelight\CameraResolution.java                       | Java           |         17 |          0 |          5 |         22 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\frc2020\limelight\undistort\CameraConstants.java              | Java           |         15 |          0 |          5 |         20 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\frc2020\limelight\undistort\OpenCVCalculatedUndistortMap.java | Java           |         97 |          7 |         19 |        123 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\frc2020\limelight\undistort\UndistortMap.java                 | Java           |          5 |          0 |          2 |          7 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\drivers\LazyTalonFX.java                                  | Java           |         21 |          4 |          5 |         30 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\drivers\LazyTalonSRX.java                                 | Java           |         21 |          4 |          5 |         30 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\drivers\TalonFXFactory.java                               | Java           |        102 |          9 |         34 |        145 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\drivers\TalonSRXFactory.java                              | Java           |         99 |          9 |         33 |        141 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\drivers\TalonUtil.java                                    | Java           |         10 |          6 |          3 |         19 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Displacement1d.java                              | Java           |         38 |          0 |         13 |         51 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\ICurvature.java                                  | Java           |          5 |          0 |          3 |          8 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\IPose2d.java                                     | Java           |          6 |          0 |          4 |         10 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\IRotation2d.java                                 | Java           |          4 |          0 |          2 |          6 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\ITranslation2d.java                              | Java           |          4 |          0 |          2 |          6 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Pose2d.java                                      | Java           |        160 |         35 |         36 |        231 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Pose2dWithCurvature.java                         | Java           |         89 |          0 |         23 |        112 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Rotation2d.java                                  | Java           |        146 |         21 |         34 |        201 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\State.java                                       | Java           |          9 |          0 |          6 |         15 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Translation2d.java                               | Java           |        154 |         89 |         38 |        281 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\geometry\Twist2d.java                                     | Java           |         35 |          7 |         10 |         52 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionProfile.java                                 | Java           |        171 |        117 |         28 |        316 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionProfileConstraints.java                      | Java           |         23 |          9 |          6 |         38 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionProfileGenerator.java                        | Java           |         82 |         40 |          8 |        130 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionProfileGoal.java                             | Java           |         88 |         33 |         21 |        142 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionSegment.java                                 | Java           |         53 |         16 |         12 |         81 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionState.java                                   | Java           |         88 |         53 |         21 |        162 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\MotionUtil.java                                    | Java           |          4 |          3 |          2 |          9 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\ProfileFollower.java                               | Java           |        122 |         58 |         27 |        207 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\motion\SetpointGenerator.java                             | Java           |         61 |         36 |         13 |        110 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CSVWritable.java                                     | Java           |          4 |          0 |          2 |          6 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CheesyDriveHelper.java                               | Java           |        110 |         13 |         21 |        144 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CircularBuffer.java                                  | Java           |         43 |          4 |         10 |         57 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CircularBufferGeneric.java                           | Java           |         31 |         15 |         11 |         57 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CrashTracker.java                                    | Java           |         49 |          3 |         16 |         68 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\CrashTrackingRunnable.java                           | Java           |         13 |          3 |          4 |         20 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\Deadband.java                                        | Java           |         21 |          0 |          5 |         26 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\DelayedBoolean.java                                  | Java           |         22 |          4 |          7 |         33 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\DriveSignal.java                                     | Java           |         29 |          3 |          8 |         40 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\Interpolable.java                                    | Java           |          4 |         16 |          1 |         21 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\InterpolatingDouble.java                             | Java           |         36 |          5 |          6 |         47 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\InterpolatingLong.java                               | Java           |         36 |          5 |          5 |         46 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\InterpolatingTreeMap.java                            | Java           |         46 |         22 |         12 |         80 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\InverseInterpolable.java                             | Java           |          4 |         17 |          2 |         23 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\LatchedBoolean.java                                  | Java           |         12 |          5 |          2 |         19 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\MinTimeBoolean.java                                  | Java           |         21 |          4 |          5 |         30 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\MovingAverage.java                                   | Java           |         31 |          3 |         13 |         47 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\MovingAveragePose2d.java                             | Java           |         36 |          3 |         12 |         51 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\MovingAverageTwist2d.java                            | Java           |         35 |          3 |         12 |         50 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\MultiTrigger.java                                    | Java           |         29 |          3 |          8 |         40 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\PolynomialRegression.java                            | Java           |         89 |         71 |         24 |        184 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\ReflectingCSVWriter.java                             | Java           |         66 |          5 |          8 |         79 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\SmartDashboardUtil.java                              | Java           |         16 |          3 |          5 |         24 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\StatFinder.java                                      | Java           |         61 |         10 |         20 |         91 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\SynchronousPIDF.java                                 | Java           |        154 |        119 |         36 |        309 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\TimeDelayedBoolean.java                              | Java           |         14 |          4 |          5 |         23 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\Units.java                                           | Java           |         27 |          0 |          9 |         36 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\util\Util.java                                            | Java           |         55 |         13 |         17 |         85 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\vision\AimingParameters.java                              | Java           |         50 |          0 |         12 |         62 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\vision\GoalTrack.java                                     | Java           |         93 |         26 |         17 |        136 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\vision\GoalTracker.java                                   | Java           |         91 |         28 |         19 |        138 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\com\team254\lib\vision\TargetInfo.java                                    | Java           |         26 |          3 |          7 |         36 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\Constants.java                                                  | Java           |        270 |         67 |         68 |        405 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\FieldConstants.java                                             | Java           |         92 |         13 |         13 |        118 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\Main.java                                                       | Java           |          8 |         13 |          5 |         26 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\Robot.java                                                      | Java           |        106 |         24 |         25 |        155 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\RobotState.java                                                 | Java           |        232 |         49 |         65 |        346 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\auto\AutoSelector.java                                          | Java           |         69 |          0 |         20 |         89 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\auto\basics\FollowTrajectory.java                               | Java           |         32 |          0 |         10 |         42 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\auto\basics\SimpleActions.java                                  | Java           |         37 |          0 |          7 |         44 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\auto\modes\AutoModeBase.java                                    | Java           |         11 |          0 |          6 |         17 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\controlboard\ControlBoard.java                                  | Java           |        153 |          6 |         49 |        208 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\controlboard\CustomXboxController.java                          | Java           |         42 |          0 |         15 |         57 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\coordinators\Alerts.java                                        | Java           |         48 |          7 |         17 |         72 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\coordinators\Superstructure.java                                | Java           |        744 |        109 |         96 |        949 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\FieldView.java                                     | Java           |         46 |          0 |         10 |         56 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\ShuffleBoardInteractions.java                      | Java           |         50 |          3 |         14 |         67 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\ShuffleboardTabBase.java                           | Java           |         20 |          1 |          8 |         29 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\tabs\BallPathTab.java                              | Java           |         75 |          0 |          9 |         84 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\tabs\ClimberTab.java                               | Java           |         67 |          0 |          7 |         74 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\tabs\HoodTab.java                                  | Java           |         49 |          0 |          6 |         55 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\tabs\OperatorTab.java                              | Java           |         53 |          0 |          7 |         60 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\shuffleboard\tabs\SwerveTab.java                                | Java           |         67 |          0 |         10 |         77 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\BallPath.java                                        | Java           |        241 |          6 |         41 |        288 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Climber.java                                         | Java           |        226 |          6 |         45 |        277 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\ColorSensor.java                                     | Java           |        123 |          1 |         28 |        152 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Hood.java                                            | Java           |        139 |          3 |         28 |        170 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Indicator.java                                       | Java           |         86 |          2 |         26 |        114 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Intaker.java                                         | Java           |        125 |          1 |         27 |        153 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Limelight.java                                       | Java           |        218 |          2 |         55 |        275 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\RobotStateEstimator.java                             | Java           |         62 |          5 |         21 |         88 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Shooter.java                                         | Java           |        133 |          2 |         30 |        165 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\subsystems\Turret.java                                          | Java           |        189 |          6 |         38 |        233 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\utils\led\LEDState.java                                         | Java           |         26 |          3 |          7 |         36 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\utils\led\Lights.java                                           | Java           |         30 |          0 |          5 |         35 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\utils\led\TimedLEDState.java                                    | Java           |         57 |          3 |         14 |         74 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\utils\shoot\ShootingParameters.java                             | Java           |         33 |          9 |         10 |         52 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\frc\robot\utils\shoot\Targets.java                                        | Java           |         14 |          0 |          4 |         18 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam1678\lib\math\Conversions.java                                 | Java           |         30 |         32 |          9 |         71 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam1678\lib\util\CTREModuleState.java                             | Java           |         39 |         13 |          5 |         57 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam1678\lib\util\HallCalibration.java                             | Java           |         44 |         41 |         18 |        103 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam1678\lib\util\SwerveModuleConstants.java                       | Java           |         13 |          7 |          3 |         23 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam1678\lib\util\TimeDelayedBoolean.java                          | Java           |         14 |          4 |          4 |         22 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6328\utils\Alert.java                                          | Java           |         80 |         44 |         17 |        141 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6328\utils\CircleFitter.java                                   | Java           |         54 |          4 |          9 |         67 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6328\utils\GeomUtil.java                                       | Java           |         43 |         66 |         11 |        120 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6328\utils\TunableNumber.java                                  | Java           |         40 |         37 |         10 |         87 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6941\control\HolonomicDriveSignal.java                         | Java           |         21 |          7 |          7 |         35 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6941\control\HolonomicTrajectoryFollower.java                  | Java           |        125 |          0 |         23 |        148 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6941\control\PathPlannerTrajectoryFollower.java                | Java           |         53 |         40 |         19 |        112 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6941\drivers\Pigeon.java                                       | Java           |         46 |         12 |         15 |         73 |
| c:\Users\simon\Documents\Programming\FRC\2022CompetitionRobot\src\main\java\org\frcteam6941\looper\UpdateManager.java                                 | Java           |         74 |          0 |         15 |         89 |
